Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Description,Precaution_1,Precaution_2,Precaution_3,Precaution_4
gerd, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,"gastroesophageal reflux disease, or gerd, is a digestive disorder that affects the lower esophageal sphincter (les), the ring of muscle between the esophagus and stomach. many people, including pregnant women, suffer from heartburn or acid indigestion caused by gerd.",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
gerd, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,"gastroesophageal reflux disease, or gerd, is a digestive disorder that affects the lower esophageal sphincter (les), the ring of muscle between the esophagus and stomach. many people, including pregnant women, suffer from heartburn or acid indigestion caused by gerd.",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
gerd, stomach_pain, acidity, vomiting, cough, chest_pain,,,,,,,,,,,,,"gastroesophageal reflux disease, or gerd, is a digestive disorder that affects the lower esophageal sphincter (les), the ring of muscle between the esophagus and stomach. many people, including pregnant women, suffer from heartburn or acid indigestion caused by gerd.",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
gerd, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,,,,,,,,,,,,,"gastroesophageal reflux disease, or gerd, is a digestive disorder that affects the lower esophageal sphincter (les), the ring of muscle between the esophagus and stomach. many people, including pregnant women, suffer from heartburn or acid indigestion caused by gerd.",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
gerd, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain,,,,,,,,,,,,,"gastroesophageal reflux disease, or gerd, is a digestive disorder that affects the lower esophageal sphincter (les), the ring of muscle between the esophagus and stomach. many people, including pregnant women, suffer from heartburn or acid indigestion caused by gerd.",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
gerd, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough,,,,,,,,,,,,,"gastroesophageal reflux disease, or gerd, is a digestive disorder that affects the lower esophageal sphincter (les), the ring of muscle between the esophagus and stomach. many people, including pregnant women, suffer from heartburn or acid indigestion caused by gerd.",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
gerd, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,"gastroesophageal reflux disease, or gerd, is a digestive disorder that affects the lower esophageal sphincter (les), the ring of muscle between the esophagus and stomach. many people, including pregnant women, suffer from heartburn or acid indigestion caused by gerd.",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,"chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",cold baths,anti itch medicine,consult doctor,eat healthy
chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,"chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",cold baths,anti itch medicine,consult doctor,eat healthy
chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,"chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",cold baths,anti itch medicine,consult doctor,eat healthy
chronic cholestasis,itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,"chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",cold baths,anti itch medicine,consult doctor,eat healthy
chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,"chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",cold baths,anti itch medicine,consult doctor,eat healthy
chronic cholestasis,itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,"chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",cold baths,anti itch medicine,consult doctor,eat healthy
chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes,,,,,,,,,,,,"chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",cold baths,anti itch medicine,consult doctor,eat healthy
chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain,,,,,,,,,,,,"chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",cold baths,anti itch medicine,consult doctor,eat healthy
drug reaction,itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,an adverse drug reaction (adr) is an injury caused by taking medication. adrs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,stop irritation,consult nearest hospital,stop taking drug,follow up
drug reaction,itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,,an adverse drug reaction (adr) is an injury caused by taking medication. adrs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,stop irritation,consult nearest hospital,stop taking drug,follow up
drug reaction,itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,,an adverse drug reaction (adr) is an injury caused by taking medication. adrs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,stop irritation,consult nearest hospital,stop taking drug,follow up
drug reaction,itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,,an adverse drug reaction (adr) is an injury caused by taking medication. adrs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,stop irritation,consult nearest hospital,stop taking drug,follow up
drug reaction,itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,,an adverse drug reaction (adr) is an injury caused by taking medication. adrs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,stop irritation,consult nearest hospital,stop taking drug,follow up
drug reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,,an adverse drug reaction (adr) is an injury caused by taking medication. adrs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,stop irritation,consult nearest hospital,stop taking drug,follow up
peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,"peptic ulcer disease (pud) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. an ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,"peptic ulcer disease (pud) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. an ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,"peptic ulcer disease (pud) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. an ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases, internal_itching,,,,,,,,,,,,,"peptic ulcer disease (pud) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. an ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching,,,,,,,,,,,,,"peptic ulcer disease (pud) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. an ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases,,,,,,,,,,,,,"peptic ulcer disease (pud) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. an ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,"peptic ulcer disease (pud) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. an ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
aids, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,"acquired immunodeficiency syndrome (aids) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (hiv). by damaging your immune system, hiv interferes with your body's ability to fight infection and disease.",avoid open cuts,wear ppe if possible,consult doctor,follow up
aids, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,,"acquired immunodeficiency syndrome (aids) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (hiv). by damaging your immune system, hiv interferes with your body's ability to fight infection and disease.",avoid open cuts,wear ppe if possible,consult doctor,follow up
aids, muscle_wasting, high_fever, extra_marital_contacts,,,,,,,,,,,,,,,"acquired immunodeficiency syndrome (aids) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (hiv). by damaging your immune system, hiv interferes with your body's ability to fight infection and disease.",avoid open cuts,wear ppe if possible,consult doctor,follow up
aids, muscle_wasting, patches_in_throat, extra_marital_contacts,,,,,,,,,,,,,,,"acquired immunodeficiency syndrome (aids) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (hiv). by damaging your immune system, hiv interferes with your body's ability to fight infection and disease.",avoid open cuts,wear ppe if possible,consult doctor,follow up
aids, muscle_wasting, patches_in_throat, high_fever,,,,,,,,,,,,,,,"acquired immunodeficiency syndrome (aids) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (hiv). by damaging your immune system, hiv interferes with your body's ability to fight infection and disease.",avoid open cuts,wear ppe if possible,consult doctor,follow up
diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
diabetes , fatigue, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
diabetes , fatigue, weight_loss, restlessness, lethargy, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, excessive_hunger, increased_appetite, polyuria,,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, increased_appetite, polyuria,,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,"gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",stop eating solid food for while,try taking small sips of water,rest,ease back into eating
gastroenteritis, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,,"gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",stop eating solid food for while,try taking small sips of water,rest,ease back into eating
gastroenteritis, vomiting, dehydration, diarrhoea,,,,,,,,,,,,,,,"gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",stop eating solid food for while,try taking small sips of water,rest,ease back into eating
gastroenteritis, vomiting, sunken_eyes, diarrhoea,,,,,,,,,,,,,,,"gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",stop eating solid food for while,try taking small sips of water,rest,ease back into eating
gastroenteritis, vomiting, sunken_eyes, dehydration,,,,,,,,,,,,,,,"gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",stop eating solid food for while,try taking small sips of water,rest,ease back into eating
bronchial asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,"bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. the disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help
bronchial asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,"bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. the disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help
bronchial asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,"bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. the disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help
bronchial asthma, fatigue, cough, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,"bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. the disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help
bronchial asthma, fatigue, cough, high_fever, family_history, mucoid_sputum,,,,,,,,,,,,,"bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. the disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help
bronchial asthma, fatigue, cough, high_fever, breathlessness, mucoid_sputum,,,,,,,,,,,,,"bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. the disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help
bronchial asthma, fatigue, cough, high_fever, breathlessness, family_history,,,,,,,,,,,,,"bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. the disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help
hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,meditation,salt baths,reduce stress,get proper sleep
hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,,meditation,salt baths,reduce stress,get proper sleep
hypertension , headache, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,,meditation,salt baths,reduce stress,get proper sleep
hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,,meditation,salt baths,reduce stress,get proper sleep
hypertension , headache, chest_pain, dizziness, lack_of_concentration,,,,,,,,,,,,,,,meditation,salt baths,reduce stress,get proper sleep
hypertension , headache, chest_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,,meditation,salt baths,reduce stress,get proper sleep
migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,"a migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. it's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor
migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,"a migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. it's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor
migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,"a migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. it's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor
migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,"a migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. it's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor
migraine, acidity, indigestion, headache, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,"a migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. it's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor
migraine, acidity, indigestion, headache, blurred_and_distorted_vision, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,"a migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. it's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor
migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, depression, irritability, visual_disturbances,,,,,,,,,,"a migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. it's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor
migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, irritability, visual_disturbances,,,,,,,,,,"a migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. it's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor
migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, visual_disturbances,,,,,,,,,,"a migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. it's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor
migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability,,,,,,,,,,"a migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. it's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor
cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,"cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. as the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).",use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,"cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. as the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).",use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,"cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. as the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).",use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance,,,,,,,,,,,,,,"cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. as the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).",use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance,,,,,,,,,,,,,,"cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. as the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).",use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,,,,,,,,,,,,,,"cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. as the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).",use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,"intracerebral hemorrhage (ich) is when blood suddenly bursts into brain tissue, causing damage to your brain. symptoms usually appear suddenly during ich. they include headache, weakness, confusion, and paralysis, particularly on one side of your body.",massage,eat healthy,exercise,consult doctor
paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,"intracerebral hemorrhage (ich) is when blood suddenly bursts into brain tissue, causing damage to your brain. symptoms usually appear suddenly during ich. they include headache, weakness, confusion, and paralysis, particularly on one side of your body.",massage,eat healthy,exercise,consult doctor
paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,"intracerebral hemorrhage (ich) is when blood suddenly bursts into brain tissue, causing damage to your brain. symptoms usually appear suddenly during ich. they include headache, weakness, confusion, and paralysis, particularly on one side of your body.",massage,eat healthy,exercise,consult doctor
